id;codice;descrizione;url;spicy;vegan;limite_ordine
1;hack soluzioni Mouse;Frozen sistematica;http://costante.it;true;true;false
2;CFA;generate Francia;https://vittore.net;false;true;false
3;Avon;deposit;http://aronne.it;false;false;true
4;full-range auxiliary Investment;Clothing Investor;https://erardo.it;false;false;false
5;utilizzo Customer;SAS;http://astianatte.net;true;false;true
6;tangibile sesta;Piazza Sports SDD;http://severa.it;true;false;false
7;Colon Pizza;Soluzione pixel;http://rosmunda.com;true;true;false
8;Miquelon Gloves transmitter;Botswana Architect Licensed;http://raffaele.it;false;true;true
9;haptic program;Borders Handcrafted;http://elifio.it;true;false;true
10;Intelligenza Venezuela Electronics;Keyboard Uruguay cross-platform;http://marana.it;false;false;true
